product_id,sku,product_name,category,subcategory,brand,model_number,color,weight_g,release_year,warranty_months,wireless,resolution,unit_price,msrp,cost_price,currency,is_active,gst_rate_percent
1,SKU-000001,Dell S Mouse Black,Accessories,Mouse,Dell,DEL-174Z,Black,613,2023,24,BT 5.0,,4530.0,4940.0,3820.0,INR,True,18
2,SKU-000002,Samsung Plus Tablet 64GB/2TB,Mobiles & Tablets,Tablets,Samsung,SAM-171B,Black,1801,2024,6,,8K,20110.0,21820.0,12680.0,INR,True,18
3,SKU-000003,HP X Desktop 64GB/256GB,Computers,Desktops,HP,HP-326A,Red,2220,2020,12,,,65260.0,67120.0,43350.0,INR,True,18
4,SKU-000004,Corsair Plus Mouse Red,Accessories,Mouse,Corsair,COR-415Z,Silver,695,2020,6,BT 5.1,,3110.0,3350.0,1910.0,INR,True,18
5,SKU-000005,Razer Plus Keyboard Red,Accessories,Keyboards,Razer,RAZ-161Z,White,849,2025,24,BT 5.3,,5890.0,6430.0,3650.0,INR,True,18
6,SKU-000006,HP Mini Webcam Space Grey,Accessories,Webcams,HP,HP-354B,Graphite,861,2021,6,,8K,6480.0,7000.0,4860.0,INR,True,18
7,SKU-000007,HP Mini Hubs & Dock Graphite,Accessories,Hubs & Docks,HP,HP-559C,Red,219,2019,6,,,3430.0,3710.0,2270.0,INR,True,18
8,SKU-000008,Anker Mini Power Bank White,Mobiles & Tablets,Power Banks,Anker,ANK-600X,Black,633,2019,24,,,2840.0,3010.0,2220.0,INR,True,18
9,SKU-000009,Amazfit Mini Wearable Red,Mobiles & Tablets,Wearables,Amazfit,AMA-608Z,Silver,1014,2025,6,BT 5.0,,1200.0,1280.0,820.0,INR,True,18
10,SKU-000010,Logitech Pro Webcam Graphite,Accessories,Webcams,Logitech,LOG-818C,Graphite,1384,2025,12,,5K,2190.0,2440.0,1510.0,INR,True,18
11,SKU-000011,Noise Prime Wearable Space Grey,Mobiles & Tablets,Wearables,Noise,NOI-272Z,Black,728,2025,6,BT 5.1,,9360.0,10450.0,5650.0,INR,True,18
12,SKU-000012,Razer Air Mouse Blue,Accessories,Mouse,Razer,RAZ-992X,Black,78,2020,12,BT 5.3,,450.0,490.0,330.0,INR,True,18
13,SKU-000013,boAt Air Wearable Silver,Mobiles & Tablets,Wearables,boAt,BOA-663C,Graphite,590,2024,12,BT 5.3,,7080.0,7860.0,5010.0,INR,True,18
14,SKU-000014,HP Max Desktop 16GB/512GB,Computers,Desktops,HP,HP-774B,Black,1976,2025,24,,,51520.0,54620.0,29160.0,INR,True,18
15,SKU-000015,"Acer 15.6"" 144Hz Pro Monitor",Computers,Monitors,Acer,ACE-647C,Red,2151,2023,12,,8K,6390.0,7300.0,5360.0,INR,True,18
16,SKU-000016,OnePlus S Smartphone 64GB/2TB,Mobiles & Tablets,Smartphones,OnePlus,ONE-508X,Black,1277,2025,24,,5K,28860.0,29930.0,23160.0,INR,True,18
17,SKU-000017,HP Lite Desktop 64GB/512GB,Computers,Desktops,HP,HP-212C,Red,465,2018,6,,,44470.0,48170.0,34360.0,INR,True,18
18,SKU-000018,HP Mini Desktop 8GB/256GB,Computers,Desktops,HP,HP-995B,Red,1177,2024,12,,,44250.0,46860.0,28640.0,INR,True,18
19,SKU-000019,Amazfit X Wearable Space Grey,Mobiles & Tablets,Wearables,Amazfit,AMA-585A,Black,328,2025,12,BT 5.3,,4800.0,5380.0,3290.0,INR,True,18
20,SKU-000020,HyperX Max Headset Black,Accessories,Headsets,HyperX,HYP-867C,Graphite,1375,2022,12,BT 5.1,,3720.0,4170.0,2560.0,INR,True,18
21,SKU-000021,Xiaomi Edge Smartphone 32GB/512GB,Mobiles & Tablets,Smartphones,Xiaomi,XIA-806Z,Black,1094,2022,24,,1080p,33980.0,38810.0,26850.0,INR,True,18
22,SKU-000022,Apple Mini Wearable White,Mobiles & Tablets,Wearables,Apple,APP-464B,Red,88,2023,24,BT 5.1,,5230.0,5820.0,4130.0,INR,True,18
23,SKU-000023,Apple Air Tablet 16GB/512GB,Mobiles & Tablets,Tablets,Apple,APP-630X,Space Grey,1153,2018,6,,4K,32160.0,34300.0,18360.0,INR,True,18
24,SKU-000024,JBL X Headset Space Grey,Accessories,Headsets,JBL,JBL-557C,Space Grey,1318,2019,12,BT 5.0,,2900.0,3230.0,2120.0,INR,True,18
25,SKU-000025,WD Mini Storag White,Computers,Storage,WD,WD-594Z,Red,1070,2018,12,,,7650.0,8220.0,4220.0,INR,True,18
26,SKU-000026,Noise S Wearable Black,Mobiles & Tablets,Wearables,Noise,NOI-497B,Blue,777,2020,12,BT 5.2,,3310.0,3640.0,2360.0,INR,True,18
27,SKU-000027,Crucial Air Storag Graphite,Computers,Storage,Crucial,CRU-186B,White,611,2020,6,,,4970.0,5150.0,3720.0,INR,True,18
28,SKU-000028,WD X Storag Silver,Computers,Storage,WD,WD-710X,Graphite,222,2023,12,,,7170.0,8040.0,4310.0,INR,True,18
29,SKU-000029,Samsung Pro Tablet 8GB/4TB,Mobiles & Tablets,Tablets,Samsung,SAM-867B,Blue,1909,2021,12,,1080p,42270.0,44620.0,35610.0,INR,True,18
30,SKU-000030,HP Edge Mouse White,Accessories,Mouse,HP,HP-882Z,Space Grey,616,2022,24,BT 5.3,,4560.0,4750.0,3660.0,INR,True,18
31,SKU-000031,Apple Mini Laptop 64GB/4TB,Computers,Laptops,Apple,APP-934Z,Blue,2196,2020,24,,,86120.0,89690.0,61570.0,INR,True,18
32,SKU-000032,ASUS Max Laptop 8GB/512GB,Computers,Laptops,ASUS,ASU-276B,Blue,1499,2019,24,,,65440.0,70380.0,49670.0,INR,True,18
